artist_name,track_name,release_date,genre,lyrics
Arctic Monkeys,Do I Wanna Know?,2013,indie-rock,"Have you got colour in your cheeks? Do you ever get that fear that you can't shift the tide That sticks around like summat in your teeth? Are there some aces up your sleeve? Have you no idea that you're in deep? I've dreamt about you nearly every night this week How many secrets can you keep? 'Cause there's this tune I found That makes me think of you somehow an' I play it on repeat Until I fall asleep, spillin' drinks on my settee  (Do I wanna know?) If this feelin' flows both ways? (Sad to see you go) Was sorta hopin' that you'd stay (Baby, we both know) That the nights were mainly made For sayin' things that you can't say tomorrow day  Crawlin' back to you Ever thought of callin' when You've had a few? 'Cause I always do Maybe I'm too Busy bein' yours To fall for somebody new Now, I've thought it through Crawlin' back to you You might also like So have you got the guts? Been wonderin' if your heart's still open And if so, I wanna know what time it shuts Simmer down an' pucker up, I'm sorry to interrupt It's just I'm constantly on the cusp of tryin' to kiss you But I don't know if you feel the same as I do But we could be together if you wanted to  (Do I wanna know?) If this feelin' flows both ways? (Sad to see you go) Was sorta hopin' that you'd stay (Baby, we both know) That the nights were mainly made For sayin' things that you can't say tomorrow day  Crawlin' back to you (Crawlin' back to you) Ever thought of callin' when You've had a few? (Had a few) 'Cause I always do ('Cause I always do) Maybe I'm too (Maybe I'm too busy) Busy bein' yours (Bein' yours) To fall for somebody new Now, I've thought it through Crawlin' back to you (Do I wanna know?) If this feelin' flows both ways? (Sad to see you go) Was sorta hopin' that you'd stay (Baby, we both know) That the nights were mainly made For sayin' things that you can't say tomorrow day (Do I wanna know?) Too busy bein' yours to fall (Sad to see you go) Ever thought of callin', darlin'? (Do I wanna know?) Do you want me crawlin' back to you?863Embed"
Tame Impala,Let It Happen,2015,indie-rock,"It's always around me, all this noise But not nearly as loud as the voice saying Let it happen, let it happen (It's gonna feel so good) Just let it happen, let it happen  All this running around trying to cover my shadow A notion growing inside, now all the others seem shallow All this running around bearing down on my shoulders I can hear an alarm, must be morning  I heard about a whirlwind that's coming 'round It's gonna carry off all that isn't bound And when it happens, when it happens (I won't be holding on) So let it happen, let it happen  All this running around, I can't fight it much longer Something's trying to get out and it's never been closer If my take-off fails, make up some other story But if I never come back, tell my mother I'm sorry You might also like I cuh-nuh duh-wuh, you wuh-nuh scri-wih Try-guh-duh do-wee, try to pun-stoo-wee You wuh-nuh thinkin' that I wuh-luh do-wee They be lovin' someone and I wuh-nuh stuh-wee Take the next ticket to take the next train Why would I do-wee, eh you wuh tun-tun na I cuh-nuh duh-wuh, you wuh-nuh scri-wih Try-guh-duh do-wee, try to pun-stoo-wee You wuh-nuh thinkin' that I wuh-luh do-wee They be lovin' someone and I wuh-nuh stuh-wee Take the next ticket to take the next train Why would I do-wee, eh you wuh tun-tun   I cuh-nuh duh-wuh, you wuh-nuh scri-wih Try-guh-duh do-wee, try to pun-stoo-wee You wuh-nuh thinkin' that I wuh-nuh do-wee They be lovin' someone and I wuh-luh stuh-wee Take the next ticket to take the next train Why would I do-wee, eh you wuh tun-tun na  Baby, now I'm ready, moving on Oh, but maybe I was ready all along Oh, I'm ready for the moment and the sound Oh, but maybe I was ready all along Oh, baby, now I'm ready, moving on Oh, but maybe I was ready all along Oh, I'm ready for the moment and the sound Oh, but maybe I was ready all along Oh, baby140Embed"
The White Stripes,Seven Nation Army,2003,indie-rock,"I'm gonna fight 'em off A seven nation army couldn't hold me back They're gonna rip it off Takin' their time right behind my back And I'm talkin' to myself at night because I can't forget Back and forth through my mind, behind a cigarette  And the message comin' from my eyes says, Leave it alone  Don't wanna hear about it Every single one's got a story to tell Everyone knows about it From the Queen of England to the Hounds of Hell And if I catch it comin' back my way, I'm gonna serve it to you And that ain't what you want to hear, but that's what I'll do  And the feelin' comin' from my bones says, Find a home You might also like  I'm goin' to Wichita Far from this opera forevermore I'm gonna work the straw Make the sweat drip out of every pore And I'm bleedin' and I'm bleedin' and I'm bleedin' right before the Lord All the words are gonna bleed from me and I will think no more  And the stains comin' from my blood tell me, Go back home 114Embed"
The Smiths,There Is a Light That Never Goes Out,1986,indie-rock,"Take me out tonight Where there's music and there's people And they're young and alive Driving in your car I never, never want to go home Because I haven't got one anymore Take me out tonight Because I want to see people And I want to see lights Driving in your car, oh, please don't drop me home Because it's not my home, it's their home And I'm welcome no more  And if a double-decker bus crashes into us To die by your side is such a heavenly way to die And if a ten tonne truck kills the both of us To die by your side, well, the pleasure, the privilege is mine  Take me out tonight Take me anywhere I don't care, I don't care, I don't care And in the darkened underpass I thought Oh God, my chance has come at last But then a strange fear gripped me and I just couldn't ask Take me out tonight Oh, take me anywhere I don't care, I don't care, I don't care Driving in your car, I never, never want to go home Because I haven't got one La-dee-dum, oh, I haven't got one Oh-oh, oh-oh-oh You might also like And if a double-decker bus crashes into us To die by your side is such a heavenly way to die And if a ten tonne truck kills the both of us To die by your side, well, the pleasure, the privilege is mine  Oh, there is a light and it never goes out There is a light and it never goes out There is a light and it never goes out There is a light and it never goes out There is a light and it never goes out There is a light and it never goes out There is a light and it never goes out There is a light and it never goes out81Embed"
Edward Sharpe,Home,2009,indie-rock,"Alabama, Arkansas, I do love my Ma and Pa Not the way that I do love you Well, holy moly, me oh my, you're the apple of my eye Girl, I never loved one like you Man, oh, man, you're my best friend, I scream it to the nothingness There ain't nothing that I need Well, hot and heavy pumpkin pie Chocolate candy, Jesus Christ There ain't nothing please me more than you  Oh, home, let me come home Home is whenever I'm with you Oh, home, let me come home Home is whenever I'm with you  La-la-la-la, take me home Honey (Mother), I'm coming home  I'll follow you into the park Through the jungle, through the dark Girl, I never loved one like you Moats and boats and waterfalls, alleyways and pay phone calls I been everywhere with you (Hey, that's true) Laugh until we think we'll die, barefoot on a summer night Never could be sweeter than with you And in the streets, you run a-free, like it's only you and me Geez, you're something to see You might also like Oh, home, let me come home Home is whenever I'm with you Oh, home, let me come home Home is wherever I'm with you  La-la-la-la, take me home Daddy, I'm coming home  Jade? Alexander? Do you remember that day you fell outta my window? I sure do, you came jumping out after me! Well, you fell on the concrete and nearly broke your ass And you were bleeding all over the place And I rushed you out to the hospital, you remember that? Yes, I do Well there's something I never told you about that night What didn't you tell me? While you were sitting in the back seat Smoking a cigarette you thought was gonna be your last I was falling deep, deeply in love with you And I never told you 'til just now! Aww! Oh, home, let me come home Home is whenever I'm with you Oh, home, let me come home Home is where I'm alone with you  Home, let me come home Home is wherever I'm with you Oh, home, yes, I am home Home is when I'm alone with you  Alabama, Arkansas I do love my Ma and Pa Moats and boats and waterfalls Alleyways and payphone calls (Oh, home) Home (Oh, home) Home Home is wherever I'm with you (Oh, home) Home (Oh, home) Home Home is when I'm alone with you53Embed"
Neutral Milk Hotel,In the Aeroplane Over the Sea,1998,indie-rock,What a beautiful face I have found in this place That is circling all 'round the sun What a beautiful dream That could flash on the screen In a blink of an eye and be gone from me Soft and sweet Let me hold it close and keep it here with me  And one day we will die And our ashes will fly From the aeroplane over the sea But for now we are young Let us lay in the sun And count every beautiful thing we can see Love to be In the arms of all I'm keeping here with me  What a curious life We have found here tonight There is music that sounds from the street There are lights in the clouds Anna's ghost all around Hear her voice as it's rolling and ringing through me Soft and sweet How the notes all bend and reach above the trees You might also like Now how I remember you How I would push my fingers through Your mouth to make those muscles move That made your voice so smooth and sweet But now we keep where we don't know All secrets sleep in winter clothes With the one you loved so long ago Now he don't even know his name  What a beautiful face I have found in this place That is circling all 'round the sun And when we meet on a cloud I'll be laughing out loud I'll be laughing with everyone I see Can't believe How strange it is to be anything at all80Embed
Pixies,Where Is My Mind?,1988,indie-rock,"Ooh—stop With your feet on the air and your head on the ground Try this trick and spin it, yeah (Yeah) Your head will collapse, and there's nothing in it And you'll ask yourself  Where is my mind? Where is my mind? Where is my mind? Way out in the water, see it swimmin'  I was swimmin' in the Caribbean Animals were hiding behind the rocks Except the little fish Bumped into me, I swear he was trying to talk to me, koi-koi Where is my mind? Where is my mind? Where is my mind? Way out in the water, see it swimmin' See Pixies LiveGet tickets as low as $23You might also like With your feet on the air and your head on the ground Try this trick and spin it, yeah Your head will collapse, and there's nothing in it And you'll ask yourself  Where is my mind? Where is my mind? Where is my mind? Way out in the water, see it swimmin'  With your feet on the air and your head on the ground Try this trick and spin it, yeah106Embed"
​The Walters,I Love You So,2014,indie-rock,"I just need someone in my life to give it structure To handle all the selfish ways I'd spend my time without her You're everything I want but I can't deal with all your lovers You're saying I'm the one, but it's your actions that speak louder Giving me love when you are down and need another I've got to get away and let you go, I've got to get over  But I love you so (Ooh-ooh-ooh) I love you so (Ooh-ooh-ooh) I love you so (Ooh-ooh-ooh) I love you so  I'm gonna pack my things and leave you behind This feeling's old and I know that I've made up my mind I hope you feel what I felt when you shattered my soul 'Cause you were cruel and I'm a fool, so please, let me go  But I love you so (Please, let me go) I love you so (Please, let me go) I love you so (Please, let me go) I love you so You might also like Ooh-ooh-ooh Ooh-ooh-ooh-ooh Ooh-ooh-ooh Ooh-ooh-ooh-ooh51Embed"
Wilbur Soot,Your New Boyfriend,2020,indie-rock,"Life isn't quite what I thought I'd be When I was a kid on VoIP I thought when I get older I'd marry her, I told her Now I'm twenty-six and I work in an office Nine till five's not the best, I'll be honest If I could change a single thing I'd make it me and not him  But he's in your bed, I'm in your Twitch chat I've got the key and he's just a doormat And even though he's got social skills That doesn't mean I can't pay the bills Anyway, make the most of him 'Cause she moves on pretty bloody quick, oh-oh Your new boyfriend's an arsehole (Woo)  And yeah, I've met Jared (Of course I've met Jared) The one who took you away from me You hit it off instantly I know, 'cause you won't stop telling me I've seen his jawline, shoulders, and muscles Push against his fashion sense I've thought about what he looks like nude I'm not gay, though You might also like 'Cause she's living the dream (Living the dream, living the dream) Oh, she's living the dream From back when we were seventeen She's living the dream (Living the dream, living the dream) Oh, she's living the dream From back when we were seventeen  How on earth could I be saved? When I'm one click away from insane I just think that I deserve A little bit of what I earned I'm not gonna make another scene The one I made when I was twenty-three Means I'm not allowed in Disney World  But he's in your bed, and I'm in your Twitch chat I've got the key and he's just a doormat 'Cause even though he's got social skills That doesn't mean I can't pay the bills Anyway, make the most of him 'Cause she moves on pretty bloody quick, oh-oh Your new boyfriend's an arsehole I think about you every day (Every day) So how on earth can I be saved? (Can I be saved?) I think about him a lot as well (I think about him) Maybe if he wasn't fine as hell (He's really fine as hell) 'Cause you're beauty And you're grace (And you're grace) Your telephone calls are my favourite place And I want you to notice me With no restraining order, please (Jason Derulo) I want you to care I want to smell your hair247Embed"
The Strokes,The Adults Are Talking,2020,indie-rock,"They've been sayin' you're sophisticated They're complainin', overeducated You are saying all the words I'm dreaming Say it after me Say it after me They will blame us, crucify and shame us We can't help it if we are a problem We are tryin' hard to get your attention I'm climbin' up your wall Climbin' up your wall  Don't go there 'cause you'll never return I know you think of me when you think of her But then it don't make sense when you're trying hard To do the right thing, but without recompense And then you did something wrong and you said it was great And now you don't know how you could ever complain Because you're all confused 'cause you want me to But then you want me to do it the same as you  You were waitin' for the elevator You were sayin' all the words I'm dreaming No more askin', questions, or excuses The information's here Here and everywhere You might also like Don't go there 'cause you'll never return I know you think of me when you think of her But then it don’t make sense when you're trying hard To do the right thing but without recompense And then you did something wrong and you said it was great And now you don't know how you could ever complain Because you're all confused 'cause you want me to But then you want me to do it the same way as you, and but  I don't, I don't want anything I know it's not, it's not your fault I don't want anyone As I do it's not for you  Ah, ah-ah-ah-ah Ah-ah, ooh, ooh  Stockholders Same shit, a different life I'll get it right sometime Oh, maybe not tonight Oh, maybe not tonight Oh, maybe not tonight Oh, maybe not tonight Oh, maybe not tonight Yeah boy, here we go And a one, and a two, and a three Here we go friends (Hold on, I can't) Maybe that's a kooky situation So let's go back to the old key, old tempo, everything68Embed"
The Strokes,Is This It,2001,indie-rock,"Can't you see I'm tryin'? I don't even like it I just lied to get to your apartment Now I'm stayin' there just for a while I can't think 'cause I'm just way too tired Is this it? Is this it? Is this it?  Said they'd give you anything you ever wanted When they lied, I knew it was just stable Children tryin' hard not to realize I was sitting right behind you  Dear, can't you see? It's them, it's not me We're not enemies, we just disagree If I was like him, all pissed in this bar He changes his mind, says I went too far We all disagree, I think we should disagree, yeah Is this it? Is this it? Is this it? You might also like Can't you see I'm tryin'? I don't even like it I just lied to get to your apartment Now I'm stayin' there just for a while I can't think 'cause I'm just way too tired37Embed"
Her's,What Once Was,2016,indie-rock,"I guess I knew this would happen to you Inside I did, but I refused to know the truth I'm headin' back inside to sit at home with you I think I know what's wrong My friends put on their bravest face Their tails between their legs, something's out of place I bet their mothers let them know what I'm about to face Keep your mouth zipped, son  Baby, I've been there before I was at the point where all I really wanted was someone And now I'm still hangin' on I was at the end of every tether waitin' for what once was  Tell me all the important stuff What's your favorite color, what makes you so tough? Please don't let go when you've had enough I'm on my knees  Baby, I've been there before I was at the point where all I really wanted was someone And now I'm still hangin' on I was at the end of every tether waiting for what once was You might also like  Baby, I've been there before I was at the point where all I really wanted was someone And now I'm still hangin' on I was at the end of every tether waitin' for what once was  Waitin' for my love Waitin' for45Embed"
Radiohead,My Iron Lung,1994,indie-rock,"Faith, you're driving me away You do it every day You don't mean it, but it hurts like hell My brain says I'm receiving pain A lack of oxygen From my life support, my iron lung  We're too young to fall asleep Too cynical to speak We are losing it, can't you tell? We scratch our eternal itch Our twentieth century bitch We are grateful for our iron lung The headshrinkers, they want my everything My uncle Bill, my Belisha beacon The headshrinkers, they want my everything My uncle Bill, my Belisha beacon  Suck, suck your teenage thumb Toilet trained and dumb When the power runs out, we'll just hum This, this is our new song Just like the last one A total waste of time, my iron lung You might also like The headshrinkers, they want my everything My uncle Bill, my Belisha beacon The headshrinkers, they want my everything My uncle Bill, my Belisha beacon  And if you're frightened, you can be frightened You can be, it's okay And if you're frightened, you can be frightened You can be, it's okay   The headshrinkers, they want my everything My uncle Bill, my Belisha beacon The headshrinkers, they want my everything My uncle Bill, my Belisha beacon33Embed"
