artist_name,track_name,release_date,genre,lyrics
Michael Jackson,Billie Jean,1982,disco,"She was more like a beauty queen from a movie scene I said, Don't mind, but what do you mean, I am the one Who will dance on the floor in the round? She said I am the one Who will dance on the floor in the round She told me her name was Billie Jean as she caused a scene Then every head turned with eyes that dreamed of bein' the one Who will dance on the floor in the round  People always told me, Be careful of what you do Don't go around breakin' young girls' hearts (Hee-hee) And mother always told me, Be careful of who you love And be careful of what you do (Oh-oh) 'Cause the lie becomes the truth (Oh-oh), hey-ey  Billie Jean is not my lover, uh She's just a girl who claims that I am the one (Oh, baby) But the kid is not my son (Hoo) She says I am the one (Oh, baby) But the kid is not my son (Hee-hee-hee, no-no, hee-hee-hee, hoo)  For forty days and for forty nights, the law was on her side But who can stand when she's in demand? Her schemes and plans 'Cause we danced on the floor in the round (Hee) So take my strong advice Just remember to always think twice (Don't think twice) Do think twice! (A-hoo!) She told my baby we'd danced 'til three, then she looked at me Then showed a photo of a baby cryin', his eyes were like mine (Oh, no) 'Cause we danced on the floor in the round, baby (Ooh, hee-hee-hee) You might also like People always told me, Be careful of what you do And don't go around breakin' young girls' hearts (Don't break no hearts; hee-hee) But she came and stood right by me Just the smell of sweet perfume (Ha-oh) This happened much too soon (Ha-oh, ha-ooh) She called me to her room (Ha-oh, hoo), hey-ey  Billie Jean is not my lover (Hoo) She's just a girl who claims that I am the one But the kid is not my son No-no-no, no-no-no-no-no-no (Hoo) Billie Jean is not my lover, uh She's just a girl who claims that I am the one (Oh, baby) But the kid is not my son (Oh, no, no) She says I am the one (Oh, baby) But the kid is not my son (No, hee-hee-hee, ah, hee-hee-hee)  Hee, hoo  She says I am the one, uh But the kid is not my son (No-no-no, hoo, ohh) Billie Jean is not my lover, uh She's just a girl who claims that I am the one (You know what you did to me, baby) But the kid is not my son No-no-no (No-no-no, ah), no-no-no-no (No-no-no) She says I am the one (No) But the kid is not my son (No-no-no-no) She says I am the one (You know what you did) She says he is my son (Breakin' my heart, babe) She says I am the one Yeah, yeah, Billie Jean is not my lover, uh Yeah, Billie Jean is not my lover, uh Yeah, Billie Jean is not my lover, uh (She is just a girl) Yeah, Billie Jean is not my lover, uh (She is just a girl; don't call me Billie Jean, hoo) Billie Jean is not my lover, uh (She is just a girl; she's not at the scene) Billie Jean is not (Hee), aaow, ooh Yeah, Billie Jean is142Embed"
"Earth, Wind",September,1978,disco,"Do you remember The twenty-first night of September? Love was changin' the minds of pretenders While chasin' the clouds away Our hearts were ringin' In the key that our souls were singin' As we danced in the night, remember How the stars stole the night away, oh yeah  Hey, hey, hey Ba-dee-ya Say, do you remember? Ba-dee-ya Dancin' in September Ba-dee-ya Never was a cloudy day  Ba-du, ba-du, ba-du, ba-du Ba-du, ba-du, ba-du, ba-du Ba-du, ba-du, ba-du-da Ba-du, yeah  My thoughts are with you Holdin' hands with your heart to see you Only blue talk and love, remember How we knew love was here to stay Now December Found a love we shared in September Only blue talk and love, remember True love we share today See Earth, Wind & Fire LiveGet tickets as low as $27You might also like Hey, hey, hey (Yeah, yeah, yeah) Ba-dee-ya Say, do you remember? Ba-dee-ya (Oh) Dancin' in September Ba-dee-ya (Hey) Never was a cloudy day And we'll say ba-dee-ya (Ba-dee-ya, dee-ya) Say, do you remember? Ba-dee-ya (Ba-dee-ya, dee-ya) Dancin' in September Ba-dee-ya (Ba-dee-ya, dee-ya) Golden dreams were shiny days (Dee-ya)  The bells was ringin', oh-oh Our souls were singin' Do you remember never a cloudy day? Yow  And we'll say ba-dee-ya (Ba-dee-ya, dee-ya) Say, do you remember? Ba-dee-ya (Ba-dee-ya, dee-ya) Dancin' in September Ba-dee-ya (Ba-dee-ya, dee-ya) Never was a cloudy day (Dee-ya) And we'll say ba-dee-ya (Ba-dee-ya, dee-ya) Say, do you remember? Ba-dee-ya (Ba-dee-ya, dee-ya) Dancin' in September Ba-dee-ya (Ba-dee ya, dee-ya) Golden dreams were shiny days (Dee-ya) Ba-dee-ya, dee-ya, dee-ya Ba-dee-ya, dee-ya, dee-ya Ba-dee-ya, dee-ya, dee-ya, dee-ya Ba-dee-ya, dee-ya, dee-ya Ba-dee-ya, dee-ya, dee-ya Ba-dee-ya, dee-ya, dee-ya, dee-ya117Embed"
Michael Jackson,Wanna Be Startin' Somethin',1982,disco,"I said you wanna be startin' somethin' You got to be startin' somethin' I said you wanna be startin' somethin' You got to be startin' somethin' It's too high to get over (Yeah, yeah) You're too low to get under (Yeah, yeah) You're stuck in the middle (Yeah, yeah) And the pain is thunder (Yeah, yeah) It's too high to get over (Yeah, yeah) You're too low to get under (Yeah, yeah) You're stuck in the middle (Yeah, yeah) And the pain is thunder (Yeah, yeah)  I took my baby to the doctor with a fever But nothin' he found By the time this hit the street They said she had a breakdown Someone's always tryin' To start my baby cryin' Talkin', squealin', lyin' Sayin' you just want to be startin' somethin'  I said you wanna be startin' somethin' You got to be startin' somethin' I said you wanna be startin' somethin' You got to be startin' somethin' It's too high to get over (Yeah, yeah) You're too low to get under (Yeah, yeah) You're stuck in the middle (Yeah, yeah) And the pain is thunder (Yeah, yeah) It's too high to get over (Yeah, yeah) You're too low to get under (Yeah, yeah) You're stuck in the middle (Yeah, yeah) And the pain is thunder (Yeah, yeah) You might also like You love to pretend that you're good When you're always up to no good You really can't make him hate her So your tongue became a razor Someone's always tryin' To keep my baby cryin' Treacherous, cunnin', declinin' You got my baby cryin' (Hee)  I said you wanna be startin' somethin' You got to be startin' somethin' I said you wanna be startin' somethin' You got to be startin' somethin' It's too high to get over (Yeah, yeah) You're too low to get under (Yeah, yeah) You're stuck in the middle (Yeah, yeah) And the pain is thunder (Yeah, yeah) It's too high to get over (Yeah, yeah) You're too low to get under (Yeah, yeah) You're stuck in the middle (Yeah, yeah) And the pain is thunder (Yeah, yeah)  You're a vegetable (You're a vegetable) You're a vegetable (You're a vegetable) Still, they hate you (Still they hate you) You're a vegetable (You're a vegetable) You're just a buffet (You're just a buffet) (You're a vegetable) You're a vegetable (You're a vegetable) They eat off of you (They eat off of you) (You're a vegetable) You're a vegetable, aaow! Billie Jean is always talkin' when nobody else is talkin' Tellin' lies and rubbin' shoulders So they called her mouth a motor Someone's always tryin' To start my baby cryin' Talkin', squealin', spyin' Sayin' you just want to be startin' somethin'  I said you wanna be startin' somethin' You got to be startin' somethin' I said you wanna be startin' somethin' You got to be startin' somethin' It's too high to get over (Yeah, yeah) You're too low to get under (Yeah, yeah) You're stuck in the middle (Yeah, yeah) And the pain is thunder (Yeah, yeah) It's too high to get over (Yeah, yeah) You're too low to get under (Yeah, yeah) You're stuck in the middle (Yeah, yeah) And the pain is thunder (Yeah, yeah)  You're a vegetable (You're a vegetable) You're a vegetable (You're a vegetable) Still, they hate you (Still they hate you) You're a vegetable (You're a vegetable) You're just a buffet (You're just a buffet) (You're a vegetable) You're a vegetable (You're a vegetable) They eat off of you (They eat off of you) (You're a vegetable) You're a vegetable, aaow! Aaow! Hee-haw! (Ooh!)  If you can't feed your baby (Yeah, yeah) Then don't have a baby (Yeah, yeah) And don't think maybe (Yeah, yeah) If you can't feed your baby (Yeah, yeah) You'll be always tryin' To stop that child from cryin' Hustlin', stealin', lyin' Now, baby's slowly dyin'  I said you wanna be startin' somethin' You got to be startin' somethin' I said you wanna be startin' somethin' You got to be startin' somethin' It's too high to get over (Yeah, yeah) You're too low to get under (Yeah, yeah) You're stuck in the middle (Yeah, yeah) And the pain is thunder (Yeah, yeah) It's too high to get over (Yeah, yeah) You're too low to get under (Yeah, yeah) You're stuck in the middle (Yeah, yeah) And the pain is thunder (Yeah, yeah)  Lift your head up high and scream out to the world I know I am someone, and let the truth unfurl (Hee-ha) No one can hurt you now because you know what's true Yes, I believe in me, so do believe in you  Help me sing it Ma ma se, ma ma sa, ma ma coo sa (Hoo-hoo) Ma ma se, ma ma sa, ma ma coo sa (Hee-hee-hee) Ma ma se, ma ma sa, ma ma coo sa (Hee-hee-hee) Ma ma se, ma ma sa, ma ma coo sa Ma ma se, ma ma sa, ma ma coo sa (Help me sing it, babe) Ma ma se, ma ma sa, ma ma coo sa (Hee-hee-hee) Ma ma se, ma ma sa, ma ma coo sa Ma ma se, ma ma sa, ma ma coo sa (Yeah, sing it to the world) Ma ma se, ma ma sa, ma ma coo sa (Sing it out loud) Ma ma se, ma ma sa, ma ma coo sa (Hoo-hoo) Ma ma se, ma ma sa, ma ma coo sa (Hee-hee-hee) Ma ma se, ma ma sa, ma ma coo sa (Help me sing it) Ma ma se, ma ma sa, ma ma coo sa (Hoo-hoo) Ma ma se, ma ma sa, ma ma coo sa (Hee-hee) Ma ma se, ma ma sa, ma ma coo sa (Help me sing it to the world) Ma ma se, ma ma sa, ma ma coo sa Ma ma se, ma ma sa, ma ma coo sa Ma ma se, ma ma sa, ma ma coo sa Ma ma se, ma ma sa, ma ma coo sa Ma ma se, ma ma sa, ma ma coo sa Ma ma se, ma ma sa, ma ma coo sa (Hoo-hoo) Ma ma se, ma ma sa, ma ma coo sa (Hee-hee-hee) Ma ma se, ma ma sa, ma ma coo sa (Hee-hee-hee) Ma ma se, ma ma sa, ma ma coo sa (Help me sing it) Ma ma se, ma ma sa, ma ma coo sa (Hee-hee-hee) Ma ma se, ma ma sa, ma ma coo sa (Yeah) Ma ma se, ma ma sa, ma ma coo sa (Sing it to the world) Ma ma se, ma ma sa, ma ma coo sa (Sing it out loud) Ma ma se, ma ma sa, ma ma coo sa (Hoo-hoo)43Embed"
Bee Gees,How Deep Is Your Love,1977,disco,"I know your eyes in the mornin' sun I feel you touch me in the pourin' rain And the moment that you wander far from me I wanna feel you in my arms again  And you come to me on a summer breeze Keep me warm in your love, then you softly leave And it's me you need to show How deep is your love?  How deep is your love? How deep is your love? I really mean to learn 'Cause we're livin' in a world of fools Breakin' us down When they all should let us be We belong to you and me  I believe in you You know the door to my very soul You're the light in my deepest, darkest hour You're my saviour when I fall You might also like And you may not think I care for you When you know down inside that I really do And it's me you need to show How deep is your love?  How deep is your love? How deep is your love? I really mean to learn 'Cause we're livin' in a world of fools Breakin' us down When they all should let us be We belong to you and me  Na-na-na-na-na Na-na-na-na, na-na-na-na-na Na-na-na, na-na-na-na-na-na-na Na-na-na, na-na-na-na  And you come to me on a summer breeze Keep me warm in your love, then you softly leave And it's me you need to show How deep is your love? How deep is your love? How deep is your love? I really mean to learn (I really mean to learn) 'Cause we're livin' in a world of fools Breakin' us down When they all should let us be We belong to you and me (Na-na-na-na-na) How deep is your love? How deep is your love? I really mean to learn 'Cause we're livin' in a world of fools Breakin' us down When they all should let us be We belong to you and me (Na-na-na-na-na) How deep is your love? How deep is your love? I really mean to learn 'Cause we're livin' in a world of fools Breakin' us down When they all should let us be We belong to you and me26Embed"
Pink Floyd,"Another Brick in the Wall, Pt. 2",1979,disco,"We don't need no education We don't need no thought control No dark sarcasm in the classroom Teacher, leave them kids alone Hey! Teacher! Leave them kids alone!  All in all, it's just another brick in the wall All in all, you're just another brick in the wall We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers, leave them kids alone Hey! Teacher! Leave us kids alone! All in all, you're just another brick in the wall All in all, you're just another brick in the wall You might also like Wrong, do it again! (*Children playing*) Wrong, do it again! If you don't eat your meat, you can't have any pudding! (Wrong, do it again!) How can you have any pudding if you don't eat your meat? (Wrong, do it again!) You! Yes! You behind the bike sheds! Stand still, laddie! (If you don't eat your meat, you can't have any pudding! How can you have any pudding if you don't eat your meat?) (You! Yes! You behind the bike sheds! Stand still, laddie!) *Children playing* *Phone beeping sound*75Embed"
Queen,Another One Bites the Dust,1980,disco,"Ooh, let's go!  Steve walks warily down the street With the brim pulled way down low Ain't no sound but the sound of his feet Machine guns ready to go Are you ready? Hey, are you ready for this? Are you hanging on the edge of your seat? Out of the doorway the bullets rip To the sound of the beat, yeah  Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust, yeah Hey, I'm gonna get you too Another one bites the dust How do you think I'm going to get along Without you, when you're gone You took me for everything that I had And kicked me out on my own Are you happy, are you satisfied? How long can you stand the heat? Out of the doorway the bullets rip To the sound of the beat Look out You might also like Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust Hey, I'm gonna get you, too Another one bites the dust  Hey Oh, take it Bite the dust, hey Another one bites the dust Another one bites the dust, ow Another one bites the dust, hey hey Another one bites the dust, hey-eh-eh Ooh There are plenty of ways you can hurt a man And bring him to the ground You can beat him, you can cheat him, you can treat him bad And leave him when he's down, yeah But I'm ready, yes I'm ready for you I'm standing on my own two feet Out of the doorway the bullets rip Repeating the sound of the beat Oh yeah Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust, yeah Hey, I'm gonna get you, too Another one bites the dust  Shoot out Ay-yeah Alright87Embed"
Wham!,Last Christmas,1984,disco,"(Happy Christmas) Ah, ah-ah Ooh-woah Oh-oh  Last Christmas, I gave you my heart But the very next day, you gave it away This year, to save me from tears I'll give it to someone special Last Christmas, I gave you my heart But the very next day, you gave it away (You gave it away) This year, to save me from tears I'll give it to someone special (Special)  Once bitten and twice shy I keep my distance, but you still catch my eye Tell me, baby, do you recognise me? Well, it's been a year, it doesn't surprise me Happy Christmas, I wrapped it up and sent it With a note saying, I love you, I meant it Now I know what a fool I've been But if you kissed me now, I know you'd fool me again You might also like Last Christmas, I gave you my heart But the very next day, you gave it away (You gave it away) This year, to save me from tears I'll give it to someone special (Special) Last Christmas, I gave you my heart But the very next day, you gave it away This year, to save me from tears I'll give it to someone special (Special, oh) Oh, oh, baby  A crowded room, friends with tired eyes I'm hiding from you and your soul of ice My God, I thought you were someone to rely on Me? I guess I was a shoulder to cry on A face of a lover with a fire in his heart A man undercover, but you tore me apart Ooh-ooh Now I've found a real love, you'll never fool me again  Last Christmas, I gave you my heart But the very next day, you gave it away (You gave it away) This year, to save me from tears I'll give it to someone special (Special) Last Christmas, I gave you my heart But the very next day, you gave it away (You gave me away) This year, to save me from tears I'll give it to someone special (Special) A face on a lover with a fire in his heart (I gave you my heart) A man undercover, but you tore him apart Maybe next year I'll give it to someone, I'll give it to someone special  Special Someone Someone I'll give it to someone, I'll give it to someone special Who give me something in return (I'll give it to someone, I'll give it to someone) Hold my heart and watch it burn I'll give it to someone, I'll give it to someone special I thought you were here to stay How could you love me for a day? I thought you were someone special I gave you my heart I'll give it to someone, I'll give it to someone  Last Christmas, I gave you my heart You gave it away I'll give it to someone, I'll give it to someone La-la La-la-la-la-la La-la La-la-la-la-la La-la-la-la-la-la-la La-la-la-la-la-la-la-la La-la-la La-la-la-la-la La-la-la-la-la La-la-la-la-la-la-la La-la-la-la-la-la-la-la17Embed"
Redbone,Come and Get Your Love,1974,disco,"Come and get your love Come and get your love Come and get your love Come and get your love  Hail (Hail), what's the matter with your head, yeah Hail (Hail), what's the matter with your mind And your sign an-a, oh-oh-oh Hail (Hail), nothin' the matter with your head Baby find it, come on and find it Hail, with it, baby, 'cause you're fine And you're mine, and you look so divine  Come and get your love Come and get your love Come and get your love Come and get your love  Hail (Hail), what's the matter with you feel right Don't you feel right, baby Hail, oh yeah, get it from the main vine, all right I said-a find it, find it, go on and love it if you like it, yeah Hail (Hail), it's your business if you want some, take some Get it together, baby You might also like Come and get your love Come and get your love Come and get your love Come and get your love  Come and get your love, come and get your love, come and get your love, now Come and get your love, come and get your love, come and get your love, now Come and get your love, come and get your love, come and get your love, now Come and get your love, come and get your love, come and get your love, now  Come and get your love Come and get your love Come and get your love Come and get your love  Hail (Hail), what's the matter with you feel right Don't you feel right, baby? Hail, oh, yeah, get it from the main vine, alright?  La, la, la, la, la, la, la, la, la, la Come and get your love La, la, la, la, la, la, la, la, la, woo Come and get your love La, la, la, la, la, la, la, la, la, la Come and get your love La, na, na, na, na, na, da, boom Come and get your love La, da boom, boom, boom, ta, daba, boom, boom Come and get your love La, la, la, la, la, la, la, la, la, woohoo Come and get your love La, la, la, la, la, la, la, la, la, la Come and get your love La, la, la, la, la, la, la, la, la, la Come and get your love La, la, la, la, la, la, la, la, la, la Come and get your love La, la, la, la, la, la, la, la, la, woohoo Come and get your love La, la, la, la, la, la, la, la, la, la Come and get your love La, la, la, la, la, la, la, la, la, la Come and get your love La, da-boom, boom, boom, ta, daba, boom, boom Come and get your love La, da-boom, boom, boom, ta, daba, boom, boom Come and get your love La, da-boom, boom, boom, ta, daba, boom, boom Come and get your love La, da-boom, boom, boom, ta, daba, boom, boom Come and get your love La, la, la, la, la, la, la, la, la, la Come and get your love La, la, la, la, la, la, la, la, la, woo37Embed"
Gloria Gaynor,I Will Survive,1978,disco,"At first I was afraid, I was petrified Kept thinkin' I could never live without you by my side But then I spent so many nights thinkin' how you did me wrong And I grew strong and I learned how to get along  And so you're back, from outer space I just walked in to find you here with that sad look upon your face I should have changed that stupid lock I should have made you leave your key If I'd have known for just one second you'd be back to bother me  Go on now, go, walk out the door Just turn around now, 'cause you're not welcome anymore Weren't you the one who tried to hurt me with goodbye? Did you think I'd crumble? Did you think I'd lay down and die?  Oh no, not I, I will survive Oh, as long as I know how to love, I know I'll stay alive I've got all my life to live, and I've got all my love to give And I'll survive, I will survive, hey hey  See Gloria Gaynor LiveGet tickets as low as $135You might also like It took all the strength I had not to fall apart Just tryin' hard to mend the pieces of my broken heart And I spent oh so many nights just feeling sorry for myself I used to cry, but now I hold my head up high And you see me, somebody new I'm not that chained up little person still in love with you And so you felt like droppin' in and just expect me to be free Now I'm saving all my lovin' for someone who's lovin' me  Go on now, go, walk out the door Just turn around now, 'cause you're not welcome anymore Weren't you the one who tried to break me with goodbye? Did you think I'd crumble? Did you think I'd lay down and die?  Oh no, not I, I will survive Oh, as long as I know how to love, I know I'll stay alive I've got all my life to live, and I've got all my love to give And I'll survive, I will survive, oh  Go on now go, walk out the door Just turn around now, 'cause you're not welcome anymore Weren't you the one who tried to break me with goodbye? Did you think I'd crumble? Did you think I'd lay down and die? Oh no, not I, I will survive Oh, as long as I know how to love, I know I'll stay alive I've got all my life to live, and I've got all my love to give And I'll survive, I will survive, I will survive   It took all the strength I had not to fall apart Just tryin' hard to mend the pieces of my broken heart And I spent oh so many nights just feeling sorry for myself I used to cry, but now I hold my head up high And you see me, somebody new I'm not that chained up little person still in love with you And so you felt like droppin' in and just expect me to be free Well, now I'm saving all my lovin' for someone who's lovin' me  Go on now go, walk out the door Just turn around now, 'cause you're not welcome anymore Weren't you the one who tried to hurt me with goodbye? Did you think I'd crumble? Did you think I'd break down and die?  Oh no, not I, I will survive Oh, as long as I know how to love, I know I'll stay alive I've got all my life to live, and I've got all my love to give And I'll survive, I will survive, I will survive I've got all my life to live, and I've got so much love to give And I'll survive, yes, I'll survive, yeah, I'll survive37Embed"
Boney M.,Rasputin,1978,disco,"There lived a certain man in Russia long ago He was big and strong, in his eyes a flaming glow Most people look at him with terror and with fear But to Moscow chicks, he was such a lovely dear He could preach the Bible like a preacher Full of ecstasy and fire But he also was the kind of teacher Women would desire  Hey, hey, hey, hey, hey, hey, hey, hey Hey, hey, hey, hey, hey, hey, hey, hey Hey, hey, hey, hey, hey, hey, hey, hey Hey, hey, hey, hey, hey, hey, hey, hey Hey, hey, hey, hey, hey, hey, hey, hey  There lived a certain man in Russia long ago He was big and strong, in his eyes, a flaming glow Most people look at him with terror and with fear But to Moscow chicks, he was such a lovely dear He could preach the Bible like a preacher Full of ecstasy and fire But he also was the kind of teacher Women would desire See Boney��M. LiveGet tickets as low as $106You might also like Ra-Ra-Rasputin, lover of the Russian Queen There was a cat that really was gone Ra-Ra-Rasputin, Russia's greatest love machine Is a shame how he carried on  He ruled the Russian land and never mind the Tsar But the kazachok, he danced really wunderbar In all affairs of state, he was the man to please But he was real great when he had a girl to squeeze For the Queen, he was no wheeler dealer Though she'd heard the things he'd done She believed he was a holy healer Who would heal her son  Ra-Ra-Rasputin, lover of the Russian Queen There was a cat that really was gone Ra-Ra-Rasputin, Russia's greatest love machine It was a shame how he carried on But when his drinking and lusting and his hunger for power Became known to more and more people The demands to do something about this outrageous man became louder and louder Hey, hey, hey, hey, hey, hey, hey, hey Hey, hey, hey, hey, hey, hey, hey, hey Hey, hey, hey, hey, hey, hey, hey, hey Hey, hey, hey, hey, hey, hey, hey, hey  This man's just gotta go, declared his enemies But the ladies begged, Don't you try to do it, please No doubt this Rasputin had lots of hidden charms Though he was a brute, they just fell into his arms Then one night, some men of higher standing Set a trap, they're not to blame Come to visit us, they kept demanding And he really came  Ra-Ra-Rasputin, lover of the Russian Queen They put some poison into his wine Ra-Ra-Rasputin, Russia's greatest love machine He drank it all and he said, I feel fine Ra-Ra-Rasputin, lover of the Russian Queen They didn't quit, they wanted his head Ra-Ra-Rasputin, Russia's greatest love machine And so they shot him 'til he was dead Oh, those Russians48Embed"
